reset,resolution,x,y,z
108,4,56107,26365,3070
f07,0,8491,26364,64511
807,11,47915,26364,57854
b06,7,20779,26364,47614
006,4,27691,26364,30206
905,8,12587,26363,52734
e06,9,61227,26619,23806
404,10,299,26619,49408
805,10,52011,26619,53504
105,7,11563,26620,30208
505,6,6955,26621,3585
805,2,64555,26623,20224
205,8,35627,26622,52223
106,13,24619,26622,21756
c07,4,22315,26621,15610
106,10,55851,26619,65019
106,12,59179,26620,30973
306,14,7211,26620,31229
207,10,47659,26620,39933
e07,0,23339,26620,42750
007,5,40747,26619,59646
f07,3,32555,26620,1790
307,15,41259,26619,52477
106,6,18219,26620,15615
a06,9,54315,26620,17407
e06,14,22571,26620,28671
006,13,30763,26876,30975
905,6,14123,26876,46591
406,8,59435,26876,41471
006,9,9515,26876,46847
706,10,32555,26877,766
b06,14,32299,26877,11006
507,4,15147,26876,22271
e07,11,2091,26876,60414
706,7,10027,26876,56062
506,6,35115,26876,43262
d06,7,32043,26876,59646
106,2,52267,26877,24062
c07,5,55083,26877,9726
907,3,8747,26877,9470
606,6,2603,26876,52734
506,4,38187,26876,55806
f06,7,41515,26876,64510
806,15,42795,26877,765
306,6,39211,26876,63486
106,5,37163,26876,65534
a06,5,46379,26877,2814
906,5,42539,27132,47614
406,6,39979,27133,2814
606,3,36907,27132,62718
706,2,33067,27133,5118
406,5,38699,27133,4606
706,6,48683,27132,52478
b06,2,33067,27132,53502
e06,4,37419,27132,57598
206,9,39723,27133,7166
206,11,60715,27133,12286
b06,13,36395,27132,39422
606,12,40491,27132,59902
106,11,39723,27133,5374
c07,0,58667,27132,65022
805,11,10795,27133,24830
e05,4,54571,27133,6654
606,7,60971,27133,24318
a06,4,4907,27133,19710
006,14,11563,27133,37885
506,14,37931,27133,14077
f06,15,57899,27388,52989
606,6,48939,27388,43006
d05,10,11051,27388,40190
c05,9,54827,27388,52222
505,6,54059,27388,38398
b05,13,63531,27388,31229
b06,12,51755,27388,25341
206,8,4139,27388,15614
606,2,32811,27388,19967
406,0,54059,27387,43519
007,9,48171,27387,12031
806,1,5419,27387,18175
e06,0,26411,27387,53246
706,7,16427,27387,63485
906,10,10539,27388,13053
407,13,22827,27388,14077
507,5,15403,27388,19710
506,14,10539,27388,22014
e06,11,48171,27388,23038
e06,15,41771,27388,31998
406,10,24875,27388,40958
b06,6,49963,27644,25598
306,8,39211,27644,16382
706,6,35371,27644,28670
306,11,46123,27644,52222
705,9,35115,27644,38654
606,11,46123,27644,17918
006,4,7723,27644,54526
f06,4,44331,27644,32510
b06,5,48939,27644,52478
305,6,20523,27644,31486
305,6,55083,27644,50430
b06,7,43051,27644,63998
606,4,3371,27644,49406
b06,8,35627,27644,30718
406,3,8491,27643,65023
206,1,55595,27644,26367
b06,3,44075,27644,27903
306,4,7467,27644,40447
606,13,811,27644,46846
e06,9,15659,27644,38398
d06,13,17195,27900,47358
006,1,23851,27900,54015
306,12,10283,27900,55550
906,5,31019,27900,59902
c06,7,20779,27900,50430
206,10,20011,27900,47102
506,3,28971,27900,41726
c06,5,27179,27900,45310
f06,1,35115,27901,9215
506,15,21291,27900,59390
b06,1,18731,27900,52479
206,11,24875,27900,46078
406,7,35371,27900,48894
206,10,34347,27900,52990
506,1,16683,27900,48126
e06,8,33579,27900,63486
606,8,32299,27900,50430
e06,10,32811,27900,26878
106,12,13355,27900,36350
506,12,31275,27900,37886
f06,6,28971,27900,48382
206,3,41259,28156,41214
206,9,23595,28156,42238
806,12,24107,28156,59390
a06,12,28459,28156,59902
f06,12,24619,28156,57342
806,5,20267,28157,31998
505,14,10795,28157,53502
c05,15,64555,28157,31486
c06,15,62507,28157,8958
606,4,44587,28157,22015
005,5,12075,28157,27647
406,10,65323,28157,8447
b06,5,13611,28157,29183
c06,0,42027,28157,5119
206,12,36907,28157,37118
e06,12,55851,28157,23550
506,4,50731,28157,30463
a06,8,32555,28157,30719
705,5,10539,28157,32512
a06,0,63787,28157,63744
407,8,27435,28414,7679
307,7,15147,28413,56575
e07,7,14123,28413,59391
a06,2,10283,28413,44543
